"","AREAYEAR","AREA","OCC_GROUP","YEAR","AREA_TITLE","TOT_EMP","AO_EMP","nat_growth","nat_share","loc_share","natl_shock_wt","true_growth","index_nsa"
"24",104202019,10420,"Skilled Trades",2019,"Akron, OH",79360,329610,0.0939050671882357,0.218274576892528,0.24076939413246,0.0204970888085765,0.0065040153897829,178.43375
"25",104202019,10420,"Service Sector",2019,"Akron, OH",126620,329610,-0.0713622426516318,0.414553675077901,0.384150966293498,-0.0295834799530349,0.0065040153897829,178.43375
"26",104202019,10420,"Public Sector & Education",2019,"Akron, OH",29610,329610,0.0174855599946808,0.0990407527341602,0.089833439519432,0.0017317830238515,0.0065040153897829,178.43375
"27",104202019,10420,"STEM & Professions",2019,"Akron, OH",54000,329610,0.0517212182193637,0.154365491537851,0.163829980886502,0.0079839712733685,0.0065040153897829,178.43375
"28",104202019,10420,"Entertainment",2019,"Akron, OH",3460,329610,0.0248459233774963,0.0110588379055416,0.0104972543308759,0.000274767039245239,0.0065040153897829,178.43375
"29",104202020,10420,"Entertainment",2020,"Akron, OH",3010,311480,-0.0767101665147507,0.0110588379055416,0.00966354180043662,-0.000848325297193736,-0.0549723924519143,191.205
"30",104202020,10420,"Skilled Trades",2020,"Akron, OH",77970,311480,-0.036701549289862,0.218274576892528,0.250321047900347,-0.00801101514254488,-0.0549723924519143,191.205
"31",104202020,10420,"Public Sector & Education",2020,"Akron, OH",28620,311480,-0.0388805625599318,0.0990407527341602,0.0918839090792346,-0.00385076018266325,-0.0549723924519143,191.205
"32",104202020,10420,"Agriculture",2020,"Akron, OH",120,311480,-0.00738501807304001,0.000702633347589662,0.000385257480416078,-0.00000518895997067026,-0.0549723924519143,191.205
"33",104202020,10420,"Health Sector",2020,"Akron, OH",35320,311480,-0.00306783379536175,0.102034581780412,0.113394118402466,-0.00031302513828155,-0.0549723924519143,191.205
"34",104202020,10420,"STEM & Professions",2020,"Akron, OH",53050,311480,0.0071636205321167,0.154365491537851,0.170315911133941,0.00110581580463083,-0.0549723924519143,191.205
"35",104202020,10420,"Service Sector",2020,"Akron, OH",113410,311480,-0.091484161119391,0.414553675077901,0.364100423783228,-0.0379250952034623,-0.0549723924519143,191.205
"36",104202021,10420,"Agriculture",2021,"Akron, OH",150,308260,-0.0436980065923717,0.000702633347589662,0.000486602218906118,-0.0000307036766549932,-0.0104654895666132,217.02125
"37",104202021,10420,"STEM & Professions",2021,"Akron, OH",53660,308260,0.0325001978974751,0.154365491537851,0.174073833776682,0.00501690902352117,-0.0104654895666132,217.02125
"38",104202021,10420,"Health Sector",2021,"Akron, OH",35850,308260,0.00956382752566145,0.102034581780412,0.116297930318562,0.000975841141800857,-0.0104654895666132,217.02125
"39",104202021,10420,"Service Sector",2021,"Akron, OH",109160,308260,-0.0172770062185834,0.414553675077901,0.354116654771946,-0.00716224642225748,-0.0104654895666132,217.02125
"40",104202021,10420,"Entertainment",2021,"Akron, OH",2960,308260,-0.0526360144953709,0.0110588379055416,0.00960228378641407,-0.000582093152298047,-0.0104654895666132,217.02125
"41",104202021,10420,"Skilled Trades",2021,"Akron, OH",77930,308260,0.00741337255051196,0.218274576892528,0.252806072795692,0.00161815075680968,-0.0104654895666132,217.02125
"42",104202021,10420,"Public Sector & Education",2021,"Akron, OH",28530,308260,-0.0187419814472121,0.0990407527341602,0.0925517420359437,-0.00185621995026155,-0.0104654895666132,217.02125
"43",104202022,10420,"Public Sector & Education",2022,"Akron, OH",29160,313280,0.0281603793479505,0.0990407527341602,0.0930796731358529,0.00278902516790052,0.0162860109005969,244.33
"44",104202022,10420,"STEM & Professions",2022,"Akron, OH",55830,313280,0.0662247524097581,0.154365491537851,0.178211184882533,0.0102228164577048,0.0162860109005969,244.33
"45",104202022,10420,"Skilled Trades",2022,"Akron, OH",81210,313280,0.0545532311051754,0.218274576892528,0.259224974463738,0.0119075834376024,0.0162860109005969,244.33
"46",104202022,10420,"Agriculture",2022,"Akron, OH",190,313280,-0.00114893477333158,0.000702633347589662,0.000606486210418795,-0.00000080727988594814,0.0162860109005969,244.33
"47",104202022,10420,"Health Sector",2022,"Akron, OH",35090,313280,0.0238117521050894,0.102034581780412,0.112008426966292,0.00242962216750164,0.0162860109005969,244.33
"48",104202022,10420,"Service Sector",2022,"Akron, OH",108170,313280,0.0339545750945277,0.414553675077901,0.345282175689479,0.014075993891145,0.0162860109005969,244.33
"49",104202022,10420,"Entertainment",2022,"Akron, OH",3610,313280,0.0946765113294107,0.0110588379055416,0.0115232379979571,0.00104701219225413,0.0162860109005969,244.33
"50",104202023,10420,"Service Sector",2023,"Akron, OH",109800,320810,0.0200442655873827,0.414553675077901,0.342258657772513,0.00830942396348699,0.0241652301602503,261.555
"51",104202023,10420,"Public Sector & Education",2023,"Akron, OH",29360,320810,0.0325123686766651,0.0990407527341602,0.0915183441912659,0.00322004946690745,0.0241652301602503,261.555
"52",104202023,10420,"Agriculture",2023,"Akron, OH",180,320810,-0.0637242013934534,0.000702633347589662,0.000561079766840186,-0.00004477474894756,0.0241652301602503,261.555
"53",104202023,10420,"STEM & Professions",2023,"Akron, OH",58730,320810,0.0352124839005986,0.154365491537851,0.18306785948069,0.00543559238558455,0.0241652301602503,261.555
"54",104202023,10420,"Entertainment",2023,"Akron, OH",3590,320810,0.0470634671867563,0.0110588379055416,0.0111904242386459,0.000520467254891116,0.0241652301602503,261.555
"55",104202023,10420,"Skilled Trades",2023,"Akron, OH",83730,320810,0.0169721648638749,0.218274576892528,0.26099560487516,0.00370459210461251,0.0241652301602503,261.555
"56",104202023,10420,"Health Sector",2023,"Akron, OH",35440,320810,0.0303740898501228,0.102034581780412,0.110470371871201,0.00309920755481793,0.0241652301602503,261.555
"57",105002016,10500,"Agriculture",2016,"Albany, GA",310,58230,NA,0.00532371629744118,0.00532371629744118,NA,NA,146.2925
"58",105002016,10500,"STEM & Professions",2016,"Albany, GA",6360,58230,NA,0.109222050489438,0.109222050489438,NA,NA,146.2925
"59",105002016,10500,"Entertainment",2016,"Albany, GA",370,58230,NA,0.00635411300017173,0.00635411300017173,NA,NA,146.2925
"60",105002016,10500,"Health Sector",2016,"Albany, GA",5860,58230,NA,0.100635411300017,0.100635411300017,NA,NA,146.2925
"61",105002016,10500,"Public Sector & Education",2016,"Albany, GA",7840,58230,NA,0.134638502490125,0.134638502490125,NA,NA,146.2925
"62",105002016,10500,"Service Sector",2016,"Albany, GA",24190,58230,NA,0.415421603984201,0.415421603984201,NA,NA,146.2925
"63",105002016,10500,"Skilled Trades",2016,"Albany, GA",13310,58230,NA,0.228576335222394,0.228576335222394,NA,NA,146.2925
"64",105002017,10500,"Health Sector",2017,"Albany, GA",6080,60720,0.0207224566218244,0.100635411300017,0.100131752305665,0.00208541294528406,0.042239010989011,149.985
"65",105002017,10500,"Agriculture",2017,"Albany, GA",300,60720,0.0310994730546665,0.00532371629744118,0.00494071146245059,0.000165564771542961,0.042239010989011,149.985
"66",105002017,10500,"Public Sector & Education",2017,"Albany, GA",7630,60720,0.0158166487129007,0.134638502490125,0.125658761528327,0.00212952989711732,0.042239010989011,149.985
"67",105002017,10500,"Service Sector",2017,"Albany, GA",24740,60720,0.0128548052534285,0.415421603984201,0.407444005270092,0.00534016381728379,0.042239010989011,149.985
"68",105002017,10500,"STEM & Professions",2017,"Albany, GA",6630,60720,0.0229425616055889,0.109222050489438,0.109189723320158,0.00250583362204268,0.042239010989011,149.985
"69",105002017,10500,"Skilled Trades",2017,"Albany, GA",14990,60720,0.00866715011657236,0.228576335222394,0.246870882740448,0.00198110541046846,0.042239010989011,149.985
"70",105002017,10500,"Entertainment",2017,"Albany, GA",330,60720,0.0226264950504542,0.00635411300017173,0.00543478260869565,0.000143771306348412,0.042239010989011,149.985
"71",105002018,10500,"Health Sector",2018,"Albany, GA",5990,60190,0.0125419517764624,0.100635411300017,0.0995181923907626,0.00126216447552928,-0.00807248764415157,153.225
"72",105002018,10500,"Service Sector",2018,"Albany, GA",24690,60190,0.00772362603218774,0.415421603984201,0.41020103007144,0.00320856111486556,-0.00807248764415157,153.225
"73",105002018,10500,"Skilled Trades",2018,"Albany, GA",15060,60190,0.0301776437171053,0.228576335222394,0.250207675693637,0.00689789520650304,-0.00807248764415157,153.225
"74",105002018,10500,"Entertainment",2018,"Albany, GA",340,60190,0.0287237782725888,0.00635411300017173,0.00564877886692142,0.000182514132935907,-0.00807248764415157,153.225
"75",105002018,10500,"Public Sector & Education",2018,"Albany, GA",7240,60190,0.01193265756871,0.134638502490125,0.120285761754444,0.00160659514577858,-0.00807248764415157,153.225
"76",105002018,10500,"STEM & Professions",2018,"Albany, GA",6620,60190,0.0317612044610044,0.109222050489438,0.109985047350058,0.0034690238772452,-0.00807248764415157,153.225
"77",105002018,10500,"Agriculture",2018,"Albany, GA",270,60190,0.0040131682081831,0.00532371629744118,0.00448579498255524,0.0000213649689942772,-0.00807248764415157,153.225
"78",105002019,10500,"STEM & Professions",2019,"Albany, GA",7210,59000,0.0517212182193637,0.109222050489438,0.122203389830508,0.0056490975077306,-0.020428500249128,158.445
"79",105002019,10500,"Public Sector & Education",2019,"Albany, GA",6900,59000,0.0174855599946808,0.134638502490125,0.116949152542373,0.00235422961288506,-0.020428500249128,158.445
"80",105002019,10500,"Skilled Trades",2019,"Albany, GA",14590,59000,0.0939050671882357,0.228576335222394,0.24728813559322,0.0214644761166996,-0.020428500249128,158.445
"81",105002019,10500,"Health Sector",2019,"Albany, GA",6710,59000,0.185588053275097,0.100635411300017,0.113728813559322,0.0186767300737089,-0.020428500249128,158.445
"82",105002019,10500,"Entertainment",2019,"Albany, GA",270,59000,0.0248459233774963,0.00635411300017173,0.00457627118644068,0.00015787380473422,-0.020428500249128,158.445
"83",105002019,10500,"Service Sector",2019,"Albany, GA",23100,59000,-0.0713622426516318,0.415421603984201,0.391525423728814,-0.0296454173062506,-0.020428500249128,158.445
"84",105002019,10500,"Agriculture",2019,"Albany, GA",200,59000,0.00215470130843456,0.00532371629744118,0.00338983050847458,0.0000114710184718309,-0.020428500249128,158.445
"85",105002020,10500,"Health Sector",2020,"Albany, GA",6830,58610,-0.00306783379536175,0.100635411300017,0.116533014843883,-0.000308732715796322,-0.00593421498813157,164.6575
"86",105002020,10500,"Public Sector & Education",2020,"Albany, GA",7850,58610,-0.0388805625599318,0.134638502490125,0.13393618836376,-0.00523482071904285,-0.00593421498813157,164.6575
"87",105002020,10500,"Skilled Trades",2020,"Albany, GA",13590,58610,-0.036701549289862,0.228576335222394,0.231871694250128,-0.00838910563366071,-0.00593421498813157,164.6575
"88",105002020,10500,"Service Sector",2020,"Albany, GA",22140,58610,-0.091484161119391,0.415421603984201,0.377751236990275,-0.0380044969513664,-0.00593421498813157,164.6575
"89",105002020,10500,"Entertainment",2020,"Albany, GA",240,58610,-0.0767101665147507,0.00635411300017173,0.00409486435761815,-0.000487425066296716,-0.00593421498813157,164.6575
"90",105002020,10500,"STEM & Professions",2020,"Albany, GA",7700,58610,0.0071636205321167,0.109222050489438,0.131376898140249,0.000782425323446028,-0.00593421498813157,164.6575
"91",105002020,10500,"Agriculture",2020,"Albany, GA",280,58610,-0.00738501807304001,0.00532371629744118,0.00477734175055451,-0.0000393157410723408,-0.00593421498813157,164.6575
"92",105002021,10500,"Service Sector",2021,"Albany, GA",21990,58070,-0.0172770062185834,0.415421603984201,0.378680902359222,-0.00717724163536891,-0.00938086303939963,184.85
"93",105002021,10500,"Skilled Trades",2021,"Albany, GA",14070,58070,0.00741337255051196,0.228576335222394,0.242293783364904,0.00169452152923432,-0.00938086303939963,184.85
"94",105002021,10500,"Health Sector",2021,"Albany, GA",6850,58070,0.00956382752566145,0.100635411300017,0.117961081453418,0.000962459716647366,-0.00938086303939963,184.85
"95",105002021,10500,"Agriculture",2021,"Albany, GA",320,58070,-0.0436980065923717,0.00532371629744118,0.00551059066643706,-0.000232635789861501,-0.00938086303939963,184.85
"96",105002021,10500,"Public Sector & Education",2021,"Albany, GA",6740,58070,-0.0187419814472121,0.134638502490125,0.116066815911831,-0.00252339231575034,-0.00938086303939963,184.85
"97",105002021,10500,"STEM & Professions",2021,"Albany, GA",7740,58070,0.0325001978974751,0.109222050489438,0.133287411744446,0.00354973825567477,-0.00938086303939963,184.85
"98",105002021,10500,"Entertainment",2021,"Albany, GA",370,58070,-0.0526360144953709,0.00635411300017173,0.00637162045806785,-0.000334455183982264,-0.00938086303939963,184.85
"99",105002022,10500,"Skilled Trades",2022,"Albany, GA",14600,58610,0.0545532311051754,0.228576335222394,0.249104248421771,0.0124695776405613,0.00964187327823691,213.7175
"100",105002022,10500,"Agriculture",2022,"Albany, GA",220,58610,-0.00114893477333158,0.00532371629744118,0.00375362566114997,-0.00000611660277748223,0.00964187327823691,213.7175
"101",105002022,10500,"Health Sector",2022,"Albany, GA",6700,58610,0.0238117521050894,0.100635411300017,0.11431496331684,0.00239630546686972,0.00964187327823691,213.7175
"102",105002022,10500,"Public Sector & Education",2022,"Albany, GA",6870,58610,0.0281603793479505,0.134638502490125,0.11721549223682,0.00379147130496191,0.00964187327823691,213.7175
"103",105002022,10500,"STEM & Professions",2022,"Albany, GA",8160,58610,0.0662247524097581,0.109222050489438,0.139225388159017,0.00723320325134916,0.00964187327823691,213.7175
"104",105002022,10500,"Entertainment",2022,"Albany, GA",580,58610,0.0946765113294107,0.00635411300017173,0.00989592219757721,0.000601585251449115,0.00964187327823691,213.7175
"105",105002022,10500,"Service Sector",2022,"Albany, GA",21510,58610,0.0339545750945277,0.415421603984201,0.367002218051527,0.0141054640483707,0.00964187327823691,213.7175
"106",105002023,10500,"Agriculture",2023,"Albany, GA",190,59710,-0.0637242013934534,0.00532371629744118,0.00318204655836543,-0.000339249569499752,0.0184174624829468,224.8275
"107",105002023,10500,"Entertainment",2023,"Albany, GA",470,59710,0.0470634671867563,0.00635411300017173,0.00787137832858818,0.000299046588684524,0.0184174624829468,224.8275
"108",105002023,10500,"STEM & Professions",2023,"Albany, GA",8630,59710,0.0352124839005986,0.109222050489438,0.144531904203651,0.00384597969444972,0.0184174624829468,224.8275
"109",105002023,10500,"Health Sector",2023,"Albany, GA",6820,59710,0.0303740898501228,0.100635411300017,0.114218723831854,0.00305670902493079,0.0184174624829468,224.8275
"110",105002023,10500,"Skilled Trades",2023,"Albany, GA",14760,59710,0.0169721648638749,0.228576335222394,0.247194774744599,0.0038794352453748,0.0184174624829468,224.8275
"111",105002023,10500,"Service Sector",2023,"Albany, GA",21610,59710,0.0200442655873827,0.415421603984201,0.361915926980405,0.00832682096099583,0.0184174624829468,224.8275
"112",105002023,10500,"Public Sector & Education",2023,"Albany, GA",7240,59710,0.0325123686766651,0.134638502490125,0.121252721487188,0.00437741663103305,0.0184174624829468,224.8275
"113",105402016,10540,"Health Sector",2016,"Albany, OR",3150,42650,NA,0.0738569753810082,0.0738569753810082,NA,NA,197.6175
"114",105402016,10540,"Entertainment",2016,"Albany, OR",370,42650,NA,0.00867526377491207,0.00867526377491207,NA,NA,197.6175
"115",105402016,10540,"STEM & Professions",2016,"Albany, OR",4210,42650,NA,0.0987104337631887,0.0987104337631887,NA,NA,197.6175
"116",105402016,10540,"Public Sector & Education",2016,"Albany, OR",4680,42650,NA,0.109730363423212,0.109730363423212,NA,NA,197.6175
"117",105402016,10540,"Service Sector",2016,"Albany, OR",16790,42650,NA,0.393669402110199,0.393669402110199,NA,NA,197.6175
"118",105402016,10540,"Agriculture",2016,"Albany, OR",560,42650,NA,0.0131301289566237,0.0131301289566237,NA,NA,197.6175
"119",105402016,10540,"Skilled Trades",2016,"Albany, OR",12890,42650,NA,0.302227432590856,0.302227432590856,NA,NA,197.6175
"120",105402017,10540,"Skilled Trades",2017,"Albany, OR",13420,42780,0.00866715011657236,0.302227432590856,0.31369798971482,0.0026194505276112,0.00304806565064478,220.5725
"121",105402017,10540,"Public Sector & Education",2017,"Albany, OR",4670,42780,0.0158166487129007,0.109730363423212,0.109163160355306,0.00173556661140388,0.00304806565064478,220.5725
"122",105402017,10540,"Service Sector",2017,"Albany, OR",16190,42780,0.0128548052534285,0.393669402110199,0.378447872837775,0.00506054349836024,0.00304806565064478,220.5725
"123",105402017,10540,"Entertainment",2017,"Albany, OR",330,42780,0.0226264950504542,0.00867526377491207,0.00771388499298738,0.000196290812864433,0.00304806565064478,220.5725
"124",105402017,10540,"Health Sector",2017,"Albany, OR",3320,42780,0.0207224566218244,0.0738569753810082,0.0776063581112669,0.00153049796855209,0.00304806565064478,220.5725
"125",105402017,10540,"Agriculture",2017,"Albany, OR",470,42780,0.0310994730546665,0.0131301289566237,0.0109864422627396,0.000408340091690815,0.00304806565064478,220.5725
"126",105402017,10540,"STEM & Professions",2017,"Albany, OR",4380,42780,0.0229425616055889,0.0987104337631887,0.102384291725105,0.00226467020772636,0.00304806565064478,220.5725
"127",105402018,10540,"Health Sector",2018,"Albany, OR",3920,45860,0.0125419517764624,0.0738569753810082,0.0854775403401657,0.000926310623583976,0.0715287517531557,244.4525
"128",105402018,10540,"Agriculture",2018,"Albany, OR",520,45860,0.0040131682081831,0.0131301289566237,0.0113388573920628,0.0000526934160980665,0.0715287517531557,244.4525
"129",105402018,10540,"Service Sector",2018,"Albany, OR",17340,45860,0.00772362603218774,0.393669402110199,0.378107283035325,0.00304055524221412,0.0715287517531557,244.4525
"130",105402018,10540,"Skilled Trades",2018,"Albany, OR",14310,45860,0.0301776437171053,0.302227432590856,0.312036633231574,0.00912051178226232,0.0715287517531557,244.4525
"131",105402018,10540,"STEM & Professions",2018,"Albany, OR",4700,45860,0.0317612044610044,0.0987104337631887,0.10248582642826,0.00313516226918707,0.0715287517531557,244.4525
"132",105402018,10540,"Entertainment",2018,"Albany, OR",300,45860,0.0287237782725888,0.00867526377491207,0.00654164849542085,0.000249186353126796,0.0715287517531557,244.4525
"133",105402018,10540,"Public Sector & Education",2018,"Albany, OR",4750,45860,0.01193265756871,0.109730363423212,0.103576101177497,0.0013093748516193,0.0715287517531557,244.4525
"134",105402019,10540,"Skilled Trades",2019,"Albany, OR",15420,45140,0.0939050671882357,0.302227432590856,0.341603898980948,0.0283806873635723,-0.0146160558464223,264.98
"135",105402019,10540,"Service Sector",2019,"Albany, OR",14720,45140,-0.0713622426516318,0.393669402110199,0.32609658839167,-0.0280931313979108,-0.0146160558464223,264.98
"136",105402019,10540,"Agriculture",2019,"Albany, OR",660,45140,0.00215470130843456,0.0131301289566237,0.0146211785556048,0.0000282915060427516,-0.0146160558464223,264.98
"137",105402019,10540,"Public Sector & Education",2019,"Albany, OR",4850,45140,0.0174855599946808,0.109730363423212,0.107443509082853,0.0019186968528747,-0.0146160558464223,264.98
"138",105402019,10540,"Health Sector",2019,"Albany, OR",4380,45140,0.185588053275097,0.0738569753810082,0.0970314576871954,0.0137069722817481,-0.0146160558464223,264.98
"139",105402019,10540,"Entertainment",2019,"Albany, OR",280,45140,0.0248459233774963,0.00867526377491207,0.00620292423571112,0.000215544939031034,-0.0146160558464223,264.98
"140",105402019,10540,"STEM & Professions",2019,"Albany, OR",4860,45140,0.0517212182193637,0.0987104337631887,0.107665042091272,0.00510542388519393,-0.0146160558464223,264.98
"141",105402020,10540,"Agriculture",2020,"Albany, OR",600,42700,-0.00738501807304001,0.0131301289566237,0.0140515222482436,-0.0000969662396460118,-0.0542395395173788,284.4075
"142",105402020,10540,"STEM & Professions",2020,"Albany, OR",4810,42700,0.0071636205321167,0.0987104337631887,0.112646370023419,0.000707124090040125,-0.0542395395173788,284.4075
"143",105402020,10540,"Service Sector",2020,"Albany, OR",13480,42700,-0.091484161119391,0.393669402110199,0.315690866510539,-0.0360145150104238,-0.0542395395173788,284.4075
"144",105402020,10540,"Public Sector & Education",2020,"Albany, OR",4470,42700,-0.0388805625599318,0.109730363423212,0.104683840749415,-0.00426637825980026,-0.0542395395173788,284.4075
"145",105402020,10540,"Health Sector",2020,"Albany, OR",4000,42700,-0.00306783379536175,0.0738569753810082,0.0936768149882904,-0.000226580925097058,-0.0542395395173788,284.4075
"146",105402020,10540,"Entertainment",2020,"Albany, OR",350,42700,-0.0767101665147507,0.00867526377491207,0.00819672131147541,-0.00066548092873289,-0.0542395395173788,284.4075
"147",105402020,10540,"Skilled Trades",2020,"Albany, OR",15010,42700,-0.036701549289862,0.302227432590856,0.35152224824356,-0.0110922150139817,-0.0542395395173788,284.4075
"148",105402021,10540,"Skilled Trades",2021,"Albany, OR",15460,44770,0.00741337255051196,0.302227432590856,0.345320527138709,0.00224052455278076,0.0482209737827715,334.4125
"149",105402021,10540,"Service Sector",2021,"Albany, OR",14190,44770,-0.0172770062185834,0.393669402110199,0.316953316953317,-0.00680142870832391,0.0482209737827715,334.4125
"150",105402021,10540,"Health Sector",2021,"Albany, OR",4650,44770,0.00956382752566145,0.0738569753810082,0.103864194773286,0.000706355374110986,0.0482209737827715,334.4125
"151",105402021,10540,"Agriculture",2021,"Albany, OR",630,44770,-0.0436980065923717,0.0131301289566237,0.0140719231628323,-0.000573760461705232,0.0482209737827715,334.4125
"152",105402021,10540,"Entertainment",2021,"Albany, OR",310,44770,-0.0526360144953709,0.00867526377491207,0.00692427965155238,-0.000456631309807438,0.0482209737827715,334.4125
"153",105402021,10540,"Public Sector & Education",2021,"Albany, OR",4120,44770,-0.0187419814472121,0.109730363423212,0.0920259102077284,-0.00205656443547368,0.0482209737827715,334.4125
"154",105402021,10540,"STEM & Professions",2021,"Albany, OR",5420,44770,0.0325001978974751,0.0987104337631887,0.121063211972303,0.00320810863184925,0.0482209737827715,334.4125
"155",105402022,10540,"Skilled Trades",2022,"Albany, OR",16740,47020,0.0545532311051754,0.302227432590856,0.356018715440238,0.0164874829764528,0.0500223313979455,385.9875
"156",105402022,10540,"Agriculture",2022,"Albany, OR",520,47020,-0.00114893477333158,0.0131301289566237,0.0110591237771161,-0.0000150856617365929,0.0500223313979455,385.9875
"157",105402022,10540,"Health Sector",2022,"Albany, OR",4350,47020,0.0238117521050894,0.0738569753810082,0.0925138239047214,0.00175866398900426,0.0500223313979455,385.9875
"158",105402022,10540,"STEM & Professions",2022,"Albany, OR",5760,47020,0.0662247524097581,0.0987104337631887,0.122501063377286,0.006537074036227,0.0500223313979455,385.9875
"159",105402022,10540,"Entertainment",2022,"Albany, OR",370,47020,0.0946765113294107,0.00867526377491207,0.00786899191833262,0.000821343709071089,0.0500223313979455,385.9875
"160",105402022,10540,"Service Sector",2022,"Albany, OR",14880,47020,0.0339545750945277,0.393669402110199,0.316461080391323,0.0133668772763686,0.0500223313979455,385.9875
"161",105402022,10540,"Public Sector & Education",2022,"Albany, OR",4400,47020,0.0281603793479505,0.109730363423212,0.0935772011909826,0.00309004865998613,0.0500223313979455,385.9875
"162",105402023,10540,"Agriculture",2023,"Albany, OR",480,47320,-0.0637242013934534,0.0131301289566237,0.0101437024513948,-0.000836706981953902,0.00638026371756699,397.92
"163",105402023,10540,"Skilled Trades",2023,"Albany, OR",16350,47320,0.0169721648638749,0.302227432590856,0.345519864750634,0.00512945381231763,0.00638026371756699,397.92
"164",105402023,10540,"Health Sector",2023,"Albany, OR",4280,47320,0.0303740898501228,0.0738569753810082,0.0904480135249366,0.00224333840628105,0.00638026371756699,397.92
"165",105402023,10540,"Entertainment",2023,"Albany, OR",430,47320,0.0470634671867563,0.00867526377491207,0.00908706677937447,0.00040828799200703,0.00638026371756699,397.92
"166",105402023,10540,"STEM & Professions",2023,"Albany, OR",6030,47320,0.0352124839005986,0.0987104337631887,0.127430262045647,0.00347583955970739,0.00638026371756699,397.92
"167",105402023,10540,"Public Sector & Education",2023,"Albany, OR",4910,47320,0.0325123686766651,0.109730363423212,0.103761622992392,0.00356759403063993,0.00638026371756699,397.92
"168",105402023,10540,"Service Sector",2023,"Albany, OR",14840,47320,0.0200442655873827,0.393669402110199,0.313609467455621,0.00789081404952299,0.00638026371756699,397.92
"169",105802016,10580,"Agriculture",2016,"Albany-Schenectady-Troy, NY",230,442510,NA,0.000519762265259542,0.000519762265259542,NA,NA,186.48625
